spotify_track_uri,title,artist,album,listened,skipped,ms_played,incognito_mode,offline,reason_start_trackerror,reason_start_switched-to-audio,reason_start_appload,reason_start_fwdbtn,reason_start_remote,reason_start_clickrow,reason_start_backbtn,reason_start_playbtn,reason_start_trackdone,reason_end_unexpected-exit-while-paused,reason_end_logout,reason_end_trackerror,reason_end_unknown,reason_end_endplay,reason_end_fwdbtn,reason_end_remote,reason_end_unexpected-exit,reason_end_backbtn,reason_end_trackdone
spotify:track:7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,Dr. Dre,2001,24,19,1136088,0,0,0,0,1,8,0,9,0,0,6,0,1,0,0,11,7,0,0,1,4
spotify:track:0b6wdul3A5sQNpIOv03OxP,Ocean Drive,Duke Dumont,Ocean Drive,24,16,1862134,0,3,0,0,1,11,0,4,0,1,7,0,1,0,0,8,8,0,0,0,7
spotify:track:0Q6mJSyGsUmg9WXgOcOf7A,"Maniac - From ""Flashdance""",Michael Sembello,ドライブが楽しくなる洋楽ヒッツ！80年代 DANCE,24,10,3101411,0,0,0,0,0,12,0,2,0,0,10,1,1,0,0,3,5,0,0,2,12
spotify:track:0yhMmqax6HRAZxI7udEask,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",24,20,1430381,0,0,0,0,1,6,0,10,0,0,7,0,2,0,0,14,5,0,0,1,2
spotify:track:5H4PU7wBIXL259apGjSpOr,Can't Knock The Hustle,JAY-Z,Reasonable Doubt,24,21,1187436,0,1,0,0,0,15,0,5,0,0,4,0,0,0,0,5,16,0,0,0,3
spotify:track:5cjaDxaXyRlxGgGjRlte7m,Daydream In Blue,I Monster,Neveroddoreven,24,17,1505272,0,0,0,0,4,8,0,5,1,0,6,0,4,0,0,6,11,0,0,0,3
spotify:track:0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,Demon Days,24,11,3008851,0,0,0,0,1,13,0,5,0,1,4,0,1,0,0,4,6,0,0,1,12
spotify:track:6HZILIRieu8S0iqY8kIKhj,DNA.,Kendrick Lamar,DAMN.,23,22,419507,0,0,0,0,1,6,0,10,1,0,5,0,1,0,0,8,13,0,0,1,0
spotify:track:1U8Ho1nOzKXYDvfigOuHG4,Kush - Main,Dr. Dre,Kush,23,15,2078168,0,0,0,0,0,10,0,2,3,0,8,0,0,0,0,2,12,0,0,1,8
spotify:track:4KFY4EEv9CN6ivrzD6vEvg,Breathe In Breathe Out,Kanye West,The College Dropout,23,20,1014858,0,0,0,0,1,7,0,5,1,0,9,0,1,0,0,10,8,0,0,2,2
spotify:track:1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,JAY-Z,Watch The Throne,23,20,802274,0,0,0,0,1,11,0,5,0,0,6,0,1,0,0,5,12,0,0,3,2
spotify:track:2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,23,17,1910789,0,0,0,0,0,12,0,6,0,0,5,0,0,0,0,6,10,1,0,1,5
spotify:track:7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa,23,8,4064620,0,0,0,0,0,5,0,5,1,0,12,0,0,0,0,4,4,0,0,0,15
spotify:track:4H3eeEecmb1lIqUfo99d8G,To Live And Die In L.A.,Makaveli,The Don Killuminati: The 7 Day Theory,22,19,790936,0,0,0,0,1,9,0,3,3,0,6,0,1,0,0,4,12,0,0,3,2
spotify:track:4gXSJzN84xigfKeDUcVOav,Save a Prayer,Duran Duran,The Singles 81-85,22,12,3028599,0,0,0,0,1,6,0,3,1,0,11,0,2,0,0,4,8,0,0,0,8
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,22,10,2023928,0,0,0,0,0,3,0,14,0,0,5,0,1,0,0,4,6,0,0,0,11
spotify:track:5DBmXF7QO43Cuy9yqva116,Family Business,Kanye West,The College Dropout,22,19,1399603,0,0,0,0,0,7,0,8,2,0,5,0,0,0,0,7,11,0,0,1,3
spotify:track:2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,i am > i was,22,18,1417543,0,0,0,0,0,10,0,8,3,0,1,0,0,0,0,7,10,0,0,1,4
spotify:track:0bKDQionn4VKcgNKbs4SWX,Pastello Bianco,Pinguini Tattici Nucleari,AHIA!,22,9,3418981,0,0,0,0,0,6,0,2,0,0,14,0,1,0,0,3,6,0,0,0,12
spotify:track:1th3G3okofWlvGWAAR7Y4V,School Spirit,Kanye West,The College Dropout,22,18,936931,0,0,0,0,0,9,0,12,0,0,1,0,0,0,0,10,8,0,0,0,4
spotify:track:1kwnxJNVl7cwcU98RvMBaR,Surf,Mac Miller,Circles,21,14,3147566,0,0,0,0,2,7,0,7,1,0,4,0,2,0,0,8,6,0,0,0,5
spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq,Graduation Day,Kanye West,The College Dropout,21,12,644748,0,0,0,0,0,4,0,6,0,0,11,0,1,0,0,7,5,0,0,0,8
spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Praise God,Kanye West,Donda,21,15,1421076,0,0,0,0,2,8,0,2,3,0,6,0,2,0,0,4,10,0,0,1,4
